2.967406e+08 9.998807e-04 6.736416e-15 6.809060e-26
2.923866e+08 9.998807e-04 7.067736e-15 7.998603e-26
2.878107e+08 9.998807e-04 7.460636e-15 9.535672e-26
2.831093e+08 9.998807e-04 7.992454e-15 1.285859e-25
2.766419e+08 9.998807e-04 9.412028e-15 9.494296e-25
2.701298e+08 9.998807e-04 2.831239e-14 3.087324e-22
2.527895e+08 9.998807e-04 9.094128e-13 1.245044e-19
1.915295e+08 9.998807e-04 5.003830e-11 3.605335e-17
7.353049e+07 9.998807e-04 9.847730e-10 4.240618e-15
1.676651e+07 9.998807e-04 4.602035e-09 5.417802e-14
3.921537e+06 9.998807e-04 1.092227e-08 2.178388e-13
1.039879e+06 9.998807e-04 1.882058e-08 6.285614e-13
3.038297e+05 9.998807e-04 2.528449e-08 1.101020e-12
2.967412e+08 9.999282e-04 6.737539e-15 6.810531e-26
2.918297e+08 9.999282e-04 7.110474e-15 8.029597e-26
2.868797e+08 9.999282e-04 7.595319e-15 9.836128e-26
2.810687e+08 9.999282e-04 8.119025e-15 1.406819e-25
2.749073e+08 9.999282e-04 1.013006e-14 4.541535e-24
2.686252e+08 9.999282e-04 8.650734e-14 2.113664e-21
2.532423e+08 9.999282e-04 4.526203e-12 9.630837e-19
1.985190e+08 9.999282e-04 1.855679e-10 2.586714e-16
9.089515e+07 9.999282e-04 2.420182e-09 1.552736e-14
2.616800e+07 9.999282e-04 9.472827e-09 1.657931e-13
7.212838e+06 9.999282e-04 1.736634e-08 4.930118e-13
2.126418e+06 9.999282e-04 2.372546e-08 8.885433e-13
6.673155e+05 9.999282e-04 3.103567e-08 1.468307e-12
2.967497e+08 1.000016e-03 6.738174e-15 6.811586e-26
2.933282e+08 1.000016e-03 7.068573e-15 7.918354e-26
2.880685e+08 1.000016e-03 7.469771e-15 9.511686e-26
2.841644e+08 1.000016e-03 8.064401e-15 1.312266e-25
2.780999e+08 1.000016e-03 9.224921e-15 8.496301e-25
2.705499e+08 1.000016e-03 2.531855e-14 2.684821e-22
2.594836e+08 1.000016e-03 8.609847e-13 1.178221e-19
2.192357e+08 1.000016e-03 4.762319e-11 4.510625e-17
1.119658e+08 1.000016e-03 9.897013e-10 4.104917e-15
3.076463e+07 1.000016e-03 6.105250e-09 6.525091e-14
7.949206e+06 1.000016e-03 1.579102e-08 3.796581e-13
2.307377e+06 1.000016e-03 2.348657e-08 7.939707e-13
7.288092e+05 1.000016e-03 3.133421e-08 1.457243e-12
2.967485e+08 1.000089e-03 6.739242e-15 6.811875e-26
2.925014e+08 1.000089e-03 7.046217e-15 7.967608e-26
2.881475e+08 1.000089e-03 7.422709e-15 9.653315e-26
2.825144e+08 1.000089e-03 8.011589e-15 1.309403e-25
2.776345e+08 1.000089e-03 9.404870e-15 1.231784e-24
2.702129e+08 1.000089e-03 4.616329e-14 5.026087e-22
2.544915e+08 1.000089e-03 2.203317e-12 2.440720e-19
1.986084e+08 1.000089e-03 9.387173e-11 6.987535e-17
8.418725e+07 1.000089e-03 1.583953e-09 7.110171e-15
2.209430e+07 1.000089e-03 6.535643e-09 8.292537e-14
5.638747e+06 1.000089e-03 1.319556e-08 2.782191e-13
1.554215e+06 1.000089e-03 2.130090e-08 7.175778e-13
4.776894e+05 1.000089e-03 3.273148e-08 1.563643e-12
2.967352e+08 1.000116e-03 6.739826e-15 6.812740e-26
2.913099e+08 1.000116e-03 7.051463e-15 7.754532e-26
2.862935e+08 1.000116e-03 7.657587e-15 1.084315e-25
2.809739e+08 1.000116e-03 8.335993e-15 1.604578e-25
2.751891e+08 1.000116e-03 1.019134e-14 7.736321e-25
2.660240e+08 1.000116e-03 2.867766e-14 1.091614e-22
2.387124e+08 1.000116e-03 8.638301e-13 5.006503e-20
1.433775e+08 1.000116e-03 3.167251e-11 1.374149e-17
3.626741e+07 1.000116e-03 6.282065e-10 2.054207e-15
6.549328e+06 1.000116e-03 4.366417e-09 4.765598e-14
1.429060e+06 1.000116e-03 1.228225e-08 2.737911e-13
3.782678e+05 1.000116e-03 2.291571e-08 8.704602e-13
1.161092e+05 1.000116e-03 3.252817e-08 1.656102e-12
2.967501e+08 9.999865e-04 6.737718e-15 6.810116e-26
2.921201e+08 9.999865e-04 7.162340e-15 8.151778e-26
2.873200e+08 9.999865e-04 7.591105e-15 9.674208e-26
2.815409e+08 9.999865e-04 8.373113e-15 1.394950e-25
2.754040e+08 9.999865e-04 9.409493e-15 5.863130e-25
2.686362e+08 9.999865e-04 1.968350e-14 1.328895e-22
2.588508e+08 9.999865e-04 5.711077e-13 6.170216e-20
2.234453e+08 9.999865e-04 2.803359e-11 2.025346e-17
1.206823e+08 9.999865e-04 6.590708e-10 2.196748e-15
3.372849e+07 9.999865e-04 4.670126e-09 4.283296e-14
8.464959e+06 9.999865e-04 1.541864e-08 4.039974e-13
2.442586e+06 9.999865e-04 2.535419e-08 1.052740e-12
7.874257e+05 9.999865e-04 3.624700e-08 2.034087e-12
2.967039e+08 1.000107e-03 6.740124e-15 6.812655e-26
2.915173e+08 1.000107e-03 7.084496e-15 7.868293e-26
2.874772e+08 1.000107e-03 7.734246e-15 1.093995e-25
2.829305e+08 1.000107e-03 8.439101e-15 1.500659e-25
2.766999e+08 1.000107e-03 9.520844e-15 6.145774e-25
2.698869e+08 1.000107e-03 1.540771e-14 1.821053e-22
2.583165e+08 1.000107e-03 2.867814e-13 7.410671e-20
2.312086e+08 1.000107e-03 1.336032e-11 1.558927e-17
1.439113e+08 1.000107e-03 4.205270e-10 2.317838e-15
